Institution_ID,Staff_ID,Staff_Type,Measure,Month,Passed_Count,Flagged_Count,Excluded_Count,Denominator,Pass_percentage
1,15,CRNA,FLUID01NC,10/1/2021,44,0,1,44,1
1,15,CRNA,FLUID01NC,11/1/2021,64,0,1,64,1
1,15,CRNA,FLUID01NC,12/1/2021,65,0,1,65,1
1,15,CRNA,PONV03,1/1/2021,37,5,35,42,0.880952381
1,15,CRNA,PONV03,2/1/2021,37,1,16,38,0.973684211
1,15,CRNA,PONV03,4/1/2021,34,7,11,41,0.829268293
1,15,CRNA,PONV03,5/1/2021,44,4,15,48,0.916666667
1,15,CRNA,PONV03,6/1/2021,46,2,17,48,0.958333333
1,15,CRNA,PONV03,7/1/2021,28,12,23,40,0.7
1,15,CRNA,PONV03,8/1/2021,48,7,19,55,0.872727273
1,15,CRNA,PONV03,9/1/2021,43,9,25,52,0.826923077
1,15,CRNA,PONV03,11/1/2021,47,2,16,49,0.959183673
1,15,CRNA,PONV03b,1/1/2021,40,2,35,42,0.952380952
1,15,CRNA,PONV03b,2/1/2021,38,0,16,38,1
1,15,CRNA,PONV03b,4/1/2021,40,1,11,41,0.975609756
1,15,CRNA,PONV03b,5/1/2021,47,1,15,48,0.979166667
1,15,CRNA,PONV03b,6/1/2021,48,0,17,48,1
1,15,CRNA,PONV03b,7/1/2021,38,2,23,40,0.95
1,15,CRNA,PONV03b,8/1/2021,53,2,19,55,0.963636364
1,15,CRNA,PONV03b,9/1/2021,48,4,25,52,0.923076923
1,15,CRNA,PONV03b,11/1/2021,49,0,16,49,1
1,15,CRNA,SUS01,1/1/2021,58,8,11,66,0.878787879
1,15,CRNA,SUS01,2/1/2021,44,2,8,46,0.956521739
1,15,CRNA,SUS01,4/1/2021,28,3,21,31,0.903225806
1,15,CRNA,SUS01,5/1/2021,33,6,24,39,0.846153846
1,15,CRNA,SUS01,6/1/2021,28,6,31,34,0.823529412
1,15,CRNA,SUS01,7/1/2021,48,1,14,49,0.979591837
1,15,CRNA,SUS01,8/1/2021,49,2,23,51,0.960784314
1,15,CRNA,SUS01,9/1/2021,47,3,27,50,0.94
1,15,CRNA,SUS01,11/1/2021,28,2,35,30,0.933333333
1,15,CRNA,SUS01,12/1/2021,50,4,12,54,0.925925926
1,15,CRNA,BP01,1/1/2021,74,0,3,74,1
1,15,CRNA,BP01,2/1/2021,54,0,0,54,1
1,15,CRNA,BP01,3/1/2021,32,0,2,32,1
1,15,CRNA,BP01,4/1/2021,52,0,0,52,1
1,15,CRNA,BP01,5/1/2021,60,0,3,60,1
1,15,CRNA,BP01,6/1/2021,61,1,3,62,0.983870968
1,15,CRNA,BP01,7/1/2021,59,0,4,59,1
1,15,CRNA,BP01,8/1/2021,73,0,1,73,1
1,15,CRNA,BP01,9/1/2021,74,0,3,74,1
1,15,CRNA,BP01,10/1/2021,45,0,0,45,1
1,15,CRNA,BP01,11/1/2021,62,2,1,64,0.96875
1,15,CRNA,BP01,12/1/2021,65,0,1,65,1
1,15,CRNA,BP03,1/1/2021,64,9,4,73,0.876712329
1,15,CRNA,BP03,2/1/2021,48,5,1,53,0.905660377
1,15,CRNA,BP03,3/1/2021,29,3,2,32,0.90625
1,15,CRNA,BP03,4/1/2021,47,5,0,52,0.903846154
1,15,CRNA,BP03,5/1/2021,57,3,3,60,0.95
1,15,CRNA,BP03,6/1/2021,56,5,4,61,0.918032787
1,15,CRNA,BP03,7/1/2021,53,5,5,58,0.913793103
1,15,CRNA,BP03,8/1/2021,66,7,1,73,0.904109589
1,15,CRNA,BP03,9/1/2021,72,2,3,74,0.972972973
1,15,CRNA,BP03,10/1/2021,40,5,0,45,0.888888889
1,15,CRNA,BP03,11/1/2021,56,7,2,63,0.888888889
1,15,CRNA,BP03,12/1/2021,61,3,2,64,0.953125
1,15,CRNA,PAIN02,1/1/2021,45,19,13,64,0.703125
1,15,CRNA,PAIN02,2/1/2021,32,9,13,41,0.780487805
1,15,CRNA,PAIN02,5/1/2021,24,11,28,35,0.685714286
1,15,CRNA,PAIN02,6/1/2021,27,4,34,31,0.870967742
1,15,CRNA,PAIN02,7/1/2021,31,11,21,42,0.738095238
1,15,CRNA,PAIN02,8/1/2021,31,9,34,40,0.775
1,15,CRNA,PAIN02,9/1/2021,31,11,35,42,0.738095238
1,15,CRNA,PAIN02,12/1/2021,40,12,14,52,0.769230769
1,15,CRNA,TOC02,4/1/2021,34,0,18,34,1
1,15,CRNA,TOC02,5/1/2021,34,0,29,34,1
1,15,CRNA,TOC02,6/1/2021,37,0,28,37,1
1,15,CRNA,TOC02,8/1/2021,39,0,35,39,1
1,15,CRNA,TOC02,9/1/2021,37,0,40,37,1
1,15,CRNA,TOC02,11/1/2021,39,0,26,39,1
1,16,CRNA,BP02,1/1/2021,45,1,3,46,0.97826087
1,16,CRNA,BP02,2/1/2021,46,4,2,50,0.92
1,16,CRNA,BP02,3/1/2021,44,2,0,46,0.956521739
1,16,CRNA,BP02,4/1/2021,53,3,9,56,0.946428571
1,16,CRNA,BP02,5/1/2021,50,2,1,52,0.961538462
1,16,CRNA,BP02,6/1/2021,85,2,6,87,0.977011494
1,16,CRNA,BP02,7/1/2021,56,0,2,56,1
1,16,CRNA,BP02,8/1/2021,51,1,7,52,0.980769231
1,16,CRNA,BP02,9/1/2021,75,1,7,76,0.986842105
1,16,CRNA,BP02,10/1/2021,41,1,7,42,0.976190476
1,16,CRNA,BP02,11/1/2021,67,1,7,68,0.985294118
1,16,CRNA,FLUID01NC,1/1/2021,49,0,0,49,1
1,16,CRNA,FLUID01NC,2/1/2021,51,1,0,52,0.980769231
1,16,CRNA,FLUID01NC,3/1/2021,44,0,2,44,1
1,16,CRNA,FLUID01NC,4/1/2021,63,0,2,63,1
1,16,CRNA,FLUID01NC,5/1/2021,53,0,0,53,1
1,16,CRNA,FLUID01NC,6/1/2021,92,0,1,92,1
1,16,CRNA,FLUID01NC,7/1/2021,58,0,0,58,1
